GENOTYPE,YEAR,LOCATION,REPNO,YIELD,,Source:,https://rdrr.io/cran/agridat/man/shafii.rapeseed.html
Glacier,89,GGA,R3,2003.04,,,
Glacier,89,GGA,R4,2099.44,,,
Jet,89,GGA,R1,1449.32,,,
Jet,89,GGA,R2,1728.42,,,
Jet,89,GGA,R3,2064.69,,,
Jet,89,GGA,R4,1357.4,,,
Bienvenu,87,ID,R1,1120,,,
Bienvenu,87,ID,R2,1232.94,,,
Bienvenu,87,ID,R3,1480,,,
Bienvenu,87,ID,R4,1135.68,,,
Bridger,87,ID,R1,1027.36,,,
Bridger,87,ID,R2,896,,,
Bridger,87,ID,R3,936.923,,,
Bridger,87,ID,R4,926.4,,,
Cascade,87,ID,R1,876.8,,,
Cascade,87,ID,R2,625.185,,,
Cascade,87,ID,R3,917.551,,,
Cascade,87,ID,R4,673.6,,,
Dwarf,87,ID,R1,818.461,,,
Dwarf,87,ID,R2,563.2,,,
Dwarf,87,ID,R3,1306.12,,,
Dwarf,87,ID,R4,1038.43,,,
Glacier,87,ID,R1,880,,,
Glacier,87,ID,R2,916.8,,,
Glacier,87,ID,R3,1336.92,,,
Glacier,87,ID,R4,1310.4,,,
Jet,87,ID,R1,1154.28,,,
Jet,87,ID,R2,873.6,,,
Jet,87,ID,R3,1014.4,,,
Jet,87,ID,R4,1213.84,,,
Bienvenu,88,ID,R1,8373,,,
Bienvenu,88,ID,R2,7349,,,
Bienvenu,88,ID,R3,6805,,,
Bienvenu,88,ID,R4,8026,,,
Bridger,88,ID,R1,5604,,,
Bridger,88,ID,R2,5470,,,
Bridger,88,ID,R3,5955,,,
Bridger,88,ID,R4,5666,,,
Cascade,88,ID,R1,5612,,,
Cascade,88,ID,R2,6400,,,
Cascade,88,ID,R3,6080,,,
Cascade,88,ID,R4,5856,,,
Dwarf,88,ID,R1,5749,,,
Dwarf,88,ID,R2,7606,,,
Dwarf,88,ID,R3,4869,,,
Dwarf,88,ID,R4,6155,,,
Glacier,88,ID,R1,5624,,,
Glacier,88,ID,R2,7195,,,
Glacier,88,ID,R3,6198,,,
Glacier,88,ID,R4,5901,,,
Jet,88,ID,R1,6007,,,
Jet,88,ID,R2,5902,,,
Jet,88,ID,R3,5778,,,
Jet,88,ID,R4,5749,,,
Bienvenu,89,ID,R1,5118.88,,,
Bienvenu,89,ID,R2,5346.93,,,
Bienvenu,89,ID,R3,5383.73,,,
Bienvenu,89,ID,R4,5538.19,,,
Bridger,89,ID,R1,3522.6,,,
Bridger,89,ID,R2,4583.68,,,
Bridger,89,ID,R3,4219.57,,,
Bridger,89,ID,R4,4290.06,,,
Cascade,89,ID,R1,6494.7,,,
Cascade,89,ID,R2,4258.64,,,
Cascade,89,ID,R3,6648.82,,,
Cascade,89,ID,R4,4532.97,,,
Dwarf,89,ID,R1,6762.71,,,
Dwarf,89,ID,R2,5551.49,,,
Dwarf,89,ID,R3,6103.48,,,
Dwarf,89,ID,R4,5390.55,,,
Glacier,89,ID,R1,5546.34,,,
Glacier,89,ID,R2,6753.07,,,
Glacier,89,ID,R3,4753.6,,,
Glacier,89,ID,R4,5171.92,,,
Jet,89,ID,R1,5862.96,,,
Jet,89,ID,R2,6398.76,,,
Jet,89,ID,R3,5880.36,,,
Jet,89,ID,R4,5309.75,,,
Bienvenu,88,KS,R1,1293,,,
Bienvenu,88,KS,R2,1321,,,
Bienvenu,88,KS,R3,1609,,,
Bienvenu,88,KS,R4,1617,,,
Bridger,88,KS,R1,1258,,,
Bridger,88,KS,R2,1230,,,
Bridger,88,KS,R3,1502,,,
Bridger,88,KS,R4,1501,,,
Cascade,88,KS,R1,1160,,,
Cascade,88,KS,R2,1188,,,
Cascade,88,KS,R3,1045,,,
Cascade,88,KS,R4,1295,,,
Dwarf,88,KS,R1,1002,,,
Dwarf,88,KS,R2,1244,,,
Dwarf,88,KS,R3,1691,,,
Dwarf,88,KS,R4,2020,,,
Glacier,88,KS,R1,1438,,,
Glacier,88,KS,R2,1498,,,
Glacier,88,KS,R3,1277,,,
Glacier,88,KS,R4,1984,,,
Jet,88,KS,R1,1245,,,
Jet,88,KS,R2,1109,,,
Jet,88,KS,R3,1226,,,
Jet,88,KS,R4,1872,,,
Bienvenu,88,MS,R1,3461,,,
Bienvenu,88,MS,R2,2024.46,,,
Bienvenu,88,MS,R3,3140.09,,,
Bienvenu,88,MS,R4,2321.94,,,
Bridger,88,MS,R1,2968.82,,,
Bridger,88,MS,R2,2492.99,,,
Bridger,88,MS,R3,2709.33,,,
Bridger,88,MS,R4,2866.03,,,
Cascade,88,MS,R1,2074.23,,,
Cascade,88,MS,R2,1394.62,,,
Cascade,88,MS,R3,2115.59,,,
Cascade,88,MS,R4,1933.33,,,
Dwarf,88,MS,R1,2004.73,,,
Dwarf,88,MS,R2,1960.9,,,
Dwarf,88,MS,R3,1899.59,,,
Dwarf,88,MS,R4,3123.16,,,
Glacier,88,MS,R1,2569.89,,,
Glacier,88,MS,R2,4895.31,,,
Glacier,88,MS,R3,2920.39,,,
Glacier,88,MS,R4,2183.29,,,
Jet,88,MS,R1,2078.48,,,
Jet,88,MS,R2,2179.81,,,
Jet,88,MS,R3,1983.77,,,
Jet,88,MS,R4,2346.27,,,
Bienvenu,87,MT,R1,1876,,,
Bienvenu,87,MT,R2,3106,,,
Bienvenu,87,MT,R3,3271,,,
Bienvenu,87,MT,R4,2211,,,
Bridger,87,MT,R1,2048,,,
Bridger,87,MT,R2,2994,,,
Bridger,87,MT,R3,3172,,,
Bridger,87,MT,R4,3099,,,
Cascade,87,MT,R1,2522,,,
Cascade,87,MT,R2,3063,,,
Cascade,87,MT,R3,3090,,,
Cascade,87,MT,R4,2990,,,
Dwarf,87,MT,R1,2667,,,
Dwarf,87,MT,R2,3859,,,
Dwarf,87,MT,R3,3563,,,
Dwarf,87,MT,R4,3718,,,
Glacier,87,MT,R1,2435,,,
Glacier,87,MT,R2,3489,,,
Glacier,87,MT,R3,3984,,,
Glacier,87,MT,R4,3319,,,
Jet,87,MT,R1,3730,,,
Jet,87,MT,R2,3542,,,
Jet,87,MT,R3,3816,,,
Jet,87,MT,R4,3554,,,
Bienvenu,87,NC,R1,897.84,,,
Bienvenu,87,NC,R2,926.984,,,
Bienvenu,87,NC,R3,1365.25,,,
Bienvenu,87,NC,R4,813.773,,,
Bridger,87,NC,R1,597.439,,,
Bridger,87,NC,R2,1706,,,
Bridger,87,NC,R3,795.839,,,
Bridger,87,NC,R4,1157.88,,,
Cascade,87,NC,R1,635.55,,,
Cascade,87,NC,R2,745.398,,,
Cascade,87,NC,R3,872.06,,,
Cascade,87,NC,R4,728.585,,,
Dwarf,87,NC,R1,997.601,,,
Dwarf,87,NC,R2,1277.82,,,
Dwarf,87,NC,R3,840.675,,,
Dwarf,87,NC,R4,939.314,,,
Glacier,87,NC,R1,2139.79,,,
Glacier,87,NC,R2,1118.65,,,
Glacier,87,NC,R3,889.994,,,
Glacier,87,NC,R4,768.937,,,
Jet,87,NC,R1,2835.87,,,
Jet,87,NC,R2,1116.41,,,
Jet,87,NC,R3,1222.9,,,
Jet,87,NC,R4,1519.94,,,
Bienvenu,89,NC,R1,2167.82,,,
Bienvenu,89,NC,R2,774.541,,,
Bienvenu,89,NC,R3,2071.42,,,
Bienvenu,89,NC,R4,493.196,,,
Bridger,89,NC,R1,1166.85,,,
Bridger,89,NC,R2,1651.08,,,
Bridger,89,NC,R3,2228.34,,,
Bridger,89,NC,R4,1406.72,,,
Cascade,89,NC,R1,900.082,,,
Cascade,89,NC,R2,1120.9,,,
Cascade,89,NC,R3,1074.94,,,
Cascade,89,NC,R4,1291.27,,,
Dwarf,89,NC,R1,1748.6,,,
Dwarf,89,NC,R2,1111.93,,,
Dwarf,89,NC,R3,1379.82,,,
Dwarf,89,NC,R4,1144.43,,,
Glacier,89,NC,R1,1227.38,,,
Glacier,89,NC,R2,1914.49,,,
Glacier,89,NC,R3,950.523,,,
Glacier,89,NC,R4,1480.7,,,
Jet,89,NC,R1,294.796,,,
Jet,89,NC,R2,497.679,,,
Jet,89,NC,R3,1014.41,,,
Jet,89,NC,R4,978.545,,,
Bienvenu,89,NY,R1,3101.36,,,
Bienvenu,89,NY,R2,3001.55,,,
Bienvenu,89,NY,R3,2694.74,,,
Bienvenu,89,NY,R4,2646.69,,,
Bridger,89,NY,R1,3142.01,,,
Bridger,89,NY,R2,2872.18,,,
Bridger,89,NY,R3,2728.01,,,
Bridger,89,NY,R4,3485.79,,,
Cascade,89,NY,R1,2513.61,,,
Cascade,89,NY,R2,2066.34,,,
Cascade,89,NY,R3,2506.22,,,
Cascade,89,NY,R4,2968.28,,,
Dwarf,89,NY,R1,3411.86,,,
Dwarf,89,NY,R2,3552.33,,,
Dwarf,89,NY,R3,3615.17,,,
Dwarf,89,NY,R4,3711.27,,,
Glacier,89,NY,R1,3234.43,,,
Glacier,89,NY,R2,3130.93,,,
Glacier,89,NY,R3,3060.69,,,
Glacier,89,NY,R4,3489.49,,,
Jet,89,NY,R1,3297.27,,,
Jet,89,NY,R2,2898.05,,,
Jet,89,NY,R3,2931.32,,,
Jet,89,NY,R4,3530.15,,,
Bienvenu,87,OR,R1,2844.84,,,
Bienvenu,87,OR,R2,4924.11,,,
Bienvenu,87,OR,R3,5160.62,,,
Bienvenu,87,OR,R4,5294.01,,,
Bridger,87,OR,R1,2529.87,,,
Bridger,87,OR,R2,2385.27,,,
Bridger,87,OR,R3,2379.67,,,
Bridger,87,OR,R4,2824.66,,,
Cascade,87,OR,R1,4778.39,,,
Cascade,87,OR,R2,2582.55,,,
Cascade,87,OR,R3,2759.65,,,
Cascade,87,OR,R4,3222.58,,,
Dwarf,87,OR,R1,5032.84,,,
Dwarf,87,OR,R2,4683.12,,,
Dwarf,87,OR,R3,3361.57,,,
Dwarf,87,OR,R4,2649.8,,,
Glacier,87,OR,R1,5420.67,,,
Glacier,87,OR,R2,3236.03,,,
Glacier,87,OR,R3,5281.68,,,
Glacier,87,OR,R4,2802.25,,,
Jet,87,OR,R1,3219.22,,,
Jet,87,OR,R2,3177.75,,,
Jet,87,OR,R3,3219.22,,,
Jet,87,OR,R4,3261.81,,,
Bienvenu,88,OR,R1,3947.8,,,
Bienvenu,88,OR,R2,2695.76,,,
Bienvenu,88,OR,R3,4286.32,,,
Bienvenu,88,OR,R4,4082.31,,,
Bridger,88,OR,R1,2678.95,,,
Bridger,88,OR,R2,2777.59,,,
Bridger,88,OR,R3,2812.33,,,
Bridger,88,OR,R4,2415.53,,,
Cascade,88,OR,R1,2184.63,,,
Cascade,88,OR,R2,2801.12,,,
Cascade,88,OR,R3,2236.19,,,
Cascade,88,OR,R4,2173.42,,,
Dwarf,88,OR,R1,4018.42,,,
Dwarf,88,OR,R2,3863.74,,,
Dwarf,88,OR,R3,2897.52,,,
Dwarf,88,OR,R4,2532.11,,,
Glacier,88,OR,R1,2699.12,,,
Glacier,88,OR,R2,2656.53,,,
Glacier,88,OR,R3,3103.77,,,
Glacier,88,OR,R4,2862.77,,,
Jet,88,OR,R1,3321.22,,,
Jet,88,OR,R2,3746.04,,,
Jet,88,OR,R3,3281.99,,,
Jet,88,OR,R4,2654.29,,,
Bienvenu,87,SC,R1,2175,,,
Bienvenu,87,SC,R2,2907,,,
Bienvenu,87,SC,R3,2325,,,
Bienvenu,87,SC,R4,2592,,,
Bridger,87,SC,R1,2640,,,
Bridger,87,SC,R2,2859,,,
Bridger,87,SC,R3,2890,,,
Bridger,87,SC,R4,2431,,,
Cascade,87,SC,R1,2182,,,
Cascade,87,SC,R2,2206,,,
Cascade,87,SC,R3,2308,,,
Cascade,87,SC,R4,1779,,,
Dwarf,87,SC,R1,1725,,,
Dwarf,87,SC,R2,1837,,,
Dwarf,87,SC,R3,2190,,,
Dwarf,87,SC,R4,1823,,,
Glacier,87,SC,R1,2279,,,
Glacier,87,SC,R2,3145,,,
Glacier,87,SC,R3,2850,,,
Glacier,87,SC,R4,2595,,,
Jet,87,SC,R1,3180,,,
Jet,87,SC,R2,1909,,,
Jet,87,SC,R3,3344,,,
Jet,87,SC,R4,2898,,,
Bienvenu,88,SC,R1,1150.43,,,
Bienvenu,88,SC,R2,888.051,,,
Bienvenu,88,SC,R3,1702.09,,,
Bienvenu,88,SC,R4,1123.51,,,
Bridger,88,SC,R1,1406.08,,,
Bridger,88,SC,R2,1501.33,,,
Bridger,88,SC,R3,1110.06,,,
Bridger,88,SC,R4,1157.15,,,
Cascade,88,SC,R1,773.681,,,
Cascade,88,SC,R2,928.417,,,
Cascade,88,SC,R3,995.694,,,
Cascade,88,SC,R4,1550.9,,,
Dwarf,88,SC,R1,1076.42,,,
Dwarf,88,SC,R2,871.055,,,
Dwarf,88,SC,R3,1143.7,,,
Dwarf,88,SC,R4,1392.62,,,
Glacier,88,SC,R1,1453.17,,,
Glacier,88,SC,R2,1789.55,,,
Glacier,88,SC,R3,1486.81,,,
Glacier,88,SC,R4,1964.47,,,
Jet,88,SC,R1,800.592,,,
Jet,88,SC,R2,235.468,,,
Jet,88,SC,R3,578.579,,,
Jet,88,SC,R4,1311.89,,,
Bienvenu,89,SC,R1,1944.91,,,
Bienvenu,89,SC,R2,1668.23,,,
Bienvenu,89,SC,R3,1319.42,,,
Bienvenu,89,SC,R4,2329.15,,,
Bridger,89,SC,R1,1879.81,,,
Bridger,89,SC,R2,3092.33,,,
Bridger,89,SC,R3,2954.64,,,
Bridger,89,SC,R4,3461.31,,,
Cascade,89,SC,R1,2664.64,,,
Cascade,89,SC,R2,2887.97,,,
Cascade,89,SC,R3,2827.49,,,
Cascade,89,SC,R4,2680.36,,,
Dwarf,89,SC,R1,764.296,,,
Dwarf,89,SC,R2,986.145,,,
Dwarf,89,SC,R3,747.584,,,
Dwarf,89,SC,R4,952.114,,,
Glacier,89,SC,R1,1348.27,,,
Glacier,89,SC,R2,1994.39,,,
Glacier,89,SC,R3,1926.42,,,
Glacier,89,SC,R4,1471.27,,,
Jet,89,SC,R1,866.859,,,
Jet,89,SC,R2,756.248,,,
Jet,89,SC,R3,1134.38,,,
Jet,89,SC,R4,846.324,,,
Bienvenu,87,TGA,R1,1250.81,,,
Bienvenu,87,TGA,R2,1655.2,,,
Bienvenu,87,TGA,R3,837.163,,,
Bienvenu,87,TGA,R4,1287.94,,,
Bridger,87,TGA,R1,1868.5,,,
Bridger,87,TGA,R2,1339.93,,,
Bridger,87,TGA,R3,1976.59,,,
Bridger,87,TGA,R4,2285.76,,,
Cascade,87,TGA,R1,1394.64,,,
Cascade,87,TGA,R2,2455.3,,,
Cascade,87,TGA,R3,1609.92,,,
Cascade,87,TGA,R4,1371.45,,,
Dwarf,87,TGA,R1,817.2,,,
Dwarf,87,TGA,R2,853.262,,,
Dwarf,87,TGA,R3,588.518,,,
Dwarf,87,TGA,R4,1231.43,,,
Glacier,87,TGA,R1,1392.26,,,
Glacier,87,TGA,R2,1639.44,,,
Glacier,87,TGA,R3,1498.2,,,
Glacier,87,TGA,R4,1283.04,,,
Jet,87,TGA,R1,787.551,,,
Jet,87,TGA,R2,693.611,,,
Jet,87,TGA,R3,972.857,,,
Jet,87,TGA,R4,1362,,,
Bienvenu,88,TGA,R1,738.673,,,
Bienvenu,88,TGA,R2,842.916,,,
Bienvenu,88,TGA,R3,848.521,,,
Bienvenu,88,TGA,R4,1469.49,,,
Bridger,88,TGA,R1,857.488,,,
Bridger,88,TGA,R2,1310.33,,,
Bridger,88,TGA,R3,1408.97,,,
Bridger,88,TGA,R4,1135.47,,,
Cascade,88,TGA,R1,1490.79,,,
Cascade,88,TGA,R2,1290.15,,,
Cascade,88,TGA,R3,1315.93,,,
Cascade,88,TGA,R4,1067.09,,,
Dwarf,88,TGA,R1,525.702,,,
Dwarf,88,TGA,R2,599.681,,,
Dwarf,88,TGA,R3,421.458,,,
Dwarf,88,TGA,R4,368.776,,,
Glacier,88,TGA,R1,1341.71,,,
Glacier,88,TGA,R2,1361.89,,,
Glacier,88,TGA,R3,1510.97,,,
Glacier,88,TGA,R4,1145.55,,,
Jet,88,TGA,R1,928.105,,,
Jet,88,TGA,R2,418.095,,,
Jet,88,TGA,R3,590.714,,,
Jet,88,TGA,R4,438.271,,,
Bienvenu,89,TGA,R1,395.677,,,
Bienvenu,89,TGA,R2,253.323,,,
Bienvenu,89,TGA,R3,619.857,,,
Bienvenu,89,TGA,R4,520.097,,,
Bridger,89,TGA,R1,1558.05,,,
Bridger,89,TGA,R2,1763.17,,,
Bridger,89,TGA,R3,1618.57,,,
Bridger,89,TGA,R4,2112.89,,,
Cascade,89,TGA,R1,1385.43,,,
Cascade,89,TGA,R2,1621.94,,,
Cascade,89,TGA,R3,1449.32,,,
Cascade,89,TGA,R4,1453.8,,,
Dwarf,89,TGA,R1,0,,,
Dwarf,89,TGA,R2,0,,,
Dwarf,89,TGA,R3,0,,,
Dwarf,89,TGA,R4,0,,,
Glacier,89,TGA,R1,599.681,,,
Glacier,89,TGA,R2,504.405,,,
Glacier,89,TGA,R3,498.8,,,
Glacier,89,TGA,R4,534.669,,,
Jet,89,TGA,R1,226.421,,,
Jet,89,TGA,R2,314.972,,,
Jet,89,TGA,R3,484.228,,,
Jet,89,TGA,R4,242.114,,,
Bienvenu,89,TN,R1,2188.95,,,
Bienvenu,89,TN,R2,3677.72,,,
Bienvenu,89,TN,R3,3147.68,,,
Bienvenu,89,TN,R4,2553.62,,,
Bridger,89,TN,R1,1742.52,,,
Bridger,89,TN,R2,2126.55,,,
Bridger,89,TN,R3,3328.78,,,
Bridger,89,TN,R4,2453.07,,,
Cascade,89,TN,R1,1691.02,,,
Cascade,89,TN,R2,2476.6,,,
Cascade,89,TN,R3,1947.98,,,
Cascade,89,TN,R4,1619.46,,,
Dwarf,89,TN,R1,3098.02,,,
Dwarf,89,TN,R2,2803.74,,,
Dwarf,89,TN,R3,1627.8,,,
Dwarf,89,TN,R4,2930.33,,,
Glacier,89,TN,R1,1289.39,,,
Glacier,89,TN,R2,2551.54,,,
Glacier,89,TN,R3,2149.29,,,
Glacier,89,TN,R4,2777.7,,,
Jet,89,TN,R1,3023.06,,,
Jet,89,TN,R2,2854.05,,,
Jet,89,TN,R3,3087.97,,,
Jet,89,TN,R4,2155.02,,,
Bienvenu,87,TX,R1,947,,,
Bienvenu,87,TX,R2,947,,,
Bienvenu,87,TX,R3,729,,,
Bienvenu,87,TX,R4,729,,,
Bridger,87,TX,R1,1107,,,
Bridger,87,TX,R2,1107,,,
Bridger,87,TX,R3,1031,,,
Bridger,87,TX,R4,1031,,,
Cascade,87,TX,R1,682,,,
Cascade,87,TX,R2,960,,,
Cascade,87,TX,R3,735,,,
Cascade,87,TX,R4,562,,,
Dwarf,87,TX,R1,1274,,,
Dwarf,87,TX,R2,949,,,
Dwarf,87,TX,R3,911,,,
Dwarf,87,TX,R4,819,,,
Glacier,87,TX,R1,1083,,,
Glacier,87,TX,R2,796,,,
Glacier,87,TX,R3,952,,,
Glacier,87,TX,R4,976,,,
Jet,87,TX,R1,1422,,,
Jet,87,TX,R2,1942,,,
Jet,87,TX,R3,1408,,,
Jet,87,TX,R4,861,,,
Bienvenu,88,TX,R1,1094.44,,,
Bienvenu,88,TX,R2,1316.49,,,
Bienvenu,88,TX,R3,1330.95,,,
Bienvenu,88,TX,R4,550.361,,,
Bridger,88,TX,R1,783.397,,,
Bridger,88,TX,R2,717.936,,,
Bridger,88,TX,R3,700.226,,,
Bridger,88,TX,R4,622.996,,,
Cascade,88,TX,R1,1549.3,,,
Cascade,88,TX,R2,929.338,,,
Cascade,88,TX,R3,636.222,,,
Cascade,88,TX,R4,602.82,,,
Dwarf,88,TX,R1,629.609,,,
Dwarf,88,TX,R2,279.776,,,
Dwarf,88,TX,R3,391.418,,,
Dwarf,88,TX,R4,264.98,,,
Glacier,88,TX,R1,514.268,,,
Glacier,88,TX,R2,561.458,,,
Glacier,88,TX,R3,794.493,,,
Glacier,88,TX,R4,375.949,,,
Jet,88,TX,R1,448.584,,,
Jet,88,TX,R2,859.954,,,
Jet,88,TX,R3,1087.04,,,
Jet,88,TX,R4,423.251,,,
Bienvenu,88,VA,R1,2811.83,,,
Bienvenu,88,VA,R2,2371.7,,,
Bienvenu,88,VA,R3,2854.59,,,
Bienvenu,88,VA,R4,3057.73,,,
Bridger,88,VA,R1,3622.59,,,
Bridger,88,VA,R2,3039.91,,,
Bridger,88,VA,R3,3264.43,,,
Bridger,88,VA,R4,3476.47,,,
Cascade,88,VA,R1,3250.17,,,
Cascade,88,VA,R2,3052.38,,,
Cascade,88,VA,R3,3369.56,,,
Cascade,88,VA,R4,2836.77,,,
Dwarf,88,VA,R1,3335.7,,,
Dwarf,88,VA,R2,3330.36,,,
Dwarf,88,VA,R3,2565.93,,,
Dwarf,88,VA,R4,3230.57,,,
Glacier,88,VA,R1,2965.07,,,
Glacier,88,VA,R2,2696,,,
Glacier,88,VA,R3,3891.66,,,
Glacier,88,VA,R4,2540.98,,,
Jet,88,VA,R1,3733.07,,,
Jet,88,VA,R2,3016.74,,,
Jet,88,VA,R3,2500,,,
Jet,88,VA,R4,3276.9,,,
Bienvenu,89,VA,R1,1115.61,,,
Bienvenu,89,VA,R2,1859.95,,,
Bienvenu,89,VA,R3,2060.83,,,
Bienvenu,89,VA,R4,1694.94,,,
Bridger,89,VA,R1,1400.79,,,
Bridger,89,VA,R2,1551.45,,,
Bridger,89,VA,R3,1603.47,,,
Bridger,89,VA,R4,2055.45,,,
Cascade,89,VA,R1,1321.87,,,
Cascade,89,VA,R2,1409.76,,,
Cascade,89,VA,R3,1350.57,,,
Cascade,89,VA,R4,1773.86,,,
Dwarf,89,VA,R1,995.444,,,
Dwarf,89,VA,R2,1745.16,,,
Dwarf,89,VA,R3,2234.81,,,
Dwarf,89,VA,R4,1395.41,,,
Glacier,89,VA,R1,1980.12,,,
Glacier,89,VA,R2,1520.96,,,
Glacier,89,VA,R3,1928.11,,,
Glacier,89,VA,R4,2218.67,,,
Jet,89,VA,R1,1763.1,,,
Jet,89,VA,R2,1842.02,,,
Jet,89,VA,R3,2055.45,,,
Jet,89,VA,R4,1564.01,,,
Bienvenu,87,WA,R1,3728,,,
Bienvenu,87,WA,R2,4292,,,
Bienvenu,87,WA,R3,4220,,,
Bienvenu,87,WA,R4,5260,,,
Bridger,87,WA,R1,4523,,,
Bridger,87,WA,R2,3878,,,
Bridger,87,WA,R3,5491,,,
Bridger,87,WA,R4,4523,,,
Cascade,87,WA,R1,5275,,,
Cascade,87,WA,R2,4258,,,
Cascade,87,WA,R3,3873,,,
Cascade,87,WA,R4,4451,,,
Dwarf,87,WA,R1,4465,,,
Dwarf,87,WA,R2,4234,,,
Dwarf,87,WA,R3,3815,,,
Dwarf,87,WA,R4,3382,,,
Glacier,87,WA,R1,4306,,,
Glacier,87,WA,R2,5665,,,
Glacier,87,WA,R3,4249,,,
Glacier,87,WA,R4,4740,,,
Jet,87,WA,R1,4827,,,
Jet,87,WA,R2,4101,,,
Jet,87,WA,R3,4345,,,
Jet,87,WA,R4,4104,,,
Bienvenu,88,WA,R1,4717,,,
Bienvenu,88,WA,R2,8016,,,
Bienvenu,88,WA,R3,4988,,,
Bienvenu,88,WA,R4,5188,,,
Bridger,88,WA,R1,2986,,,
Bridger,88,WA,R2,2611,,,
Bridger,88,WA,R3,4150,,,
Bridger,88,WA,R4,2861,,,
Cascade,88,WA,R1,2975,,,
Cascade,88,WA,R2,5429,,,
Cascade,88,WA,R3,4651,,,
Cascade,88,WA,R4,3778,,,
Dwarf,88,WA,R1,4089,,,
Dwarf,88,WA,R2,3451,,,
Dwarf,88,WA,R3,4291,,,
Dwarf,88,WA,R4,4524,,,
Glacier,88,WA,R1,3617,,,
Glacier,88,WA,R2,4416,,,
Glacier,88,WA,R3,4150,,,
Glacier,88,WA,R4,3397,,,
Jet,88,WA,R1,4061,,,
Jet,88,WA,R2,3198,,,
Jet,88,WA,R3,2335,,,
Jet,88,WA,R4,3198,,,
Bienvenu,89,WA,R1,2131,,,
Bienvenu,89,WA,R2,2037,,,
Bienvenu,89,WA,R3,1148,,,
Bienvenu,89,WA,R4,1588,,,
Bridger,89,WA,R1,3869,,,
Bridger,89,WA,R2,3423,,,
Bridger,89,WA,R3,4203,,,
Bridger,89,WA,R4,4697,,,
Cascade,89,WA,R1,3593,,,
Cascade,89,WA,R2,4774,,,
Cascade,89,WA,R3,4080,,,
Cascade,89,WA,R4,3299,,,
Dwarf,89,WA,R1,4198,,,
Dwarf,89,WA,R2,3162,,,
Dwarf,89,WA,R3,2080,,,
Dwarf,89,WA,R4,3019,,,
Glacier,89,WA,R1,2600,,,
Glacier,89,WA,R2,2478,,,
Glacier,89,WA,R3,3080,,,
Glacier,89,WA,R4,2990,,,
Jet,89,WA,R1,3116,,,
Jet,89,WA,R2,3750,,,
Jet,89,WA,R3,3208,,,
Jet,89,WA,R4,2411,,,
